discriminator,generator
-48.07,43.19
-17.47,7.64
-13.89,5.71
-11.39,4.86
-9.97,4.38
-9.18,3.41
-8.79,3.37
-8.59,3.73
-8.34,2.97
-8.18,3.08
-7.97,2.89
-7.72,2.77
-7.51,2.78
-7.32,2.81
-7.18,2.53
-7.05,3.02
-6.91,2.52
-6.81,2.49
-6.73,2.49
-6.67,2.60
-6.55,2.37
-6.52,2.30
-6.47,2.61
-6.37,2.42
-6.31,2.19
-6.27,2.27
-6.23,2.21
-6.18,2.04
-6.11,2.36
-6.08,1.97
-6.04,2.11
-6.00,2.13
-5.95,2.07
-5.89,1.89
-5.88,1.95
-5.82,2.03
-5.79,1.76
-5.77,2.02
-5.74,1.80
-5.69,2.01
-5.71,1.70
-5.68,1.70
-5.63,1.77
-5.59,1.83
-5.56,1.51
-5.56,1.73
-5.55,1.67
-5.53,1.57
-5.53,1.70
-5.48,1.70
-5.45,1.42
-5.45,1.77
-5.43,1.14
-5.39,1.86
-5.41,1.35
-5.38,1.65
-5.38,1.75
-5.33,1.27
-5.36,1.55
-5.34,1.38
-5.34,1.55
-5.31,1.26
-5.32,1.45
-5.31,1.31
-5.29,1.30
-5.29,1.58
-5.29,1.22
-5.26,1.30
-5.31,1.17
-5.23,1.27
-5.26,1.44
-5.25,1.25
-5.25,1.43
-5.27,1.26
-5.25,1.11
-5.23,1.49
-5.22,1.15
-5.22,1.51
-5.25,1.02
-5.27,1.25
-5.28,1.25
-5.24,1.32
-5.24,1.02
-5.26,1.38
-5.24,1.22
-5.24,0.78
-5.27,1.24
-5.24,1.13
-5.24,1.09
-5.22,1.24
-5.26,1.11
-5.27,1.24
-5.27,0.98
-5.23,1.22
-5.29,1.12
-5.24,0.87
-5.33,1.23
-5.26,0.98
-5.34,0.95
-5.26,1.00
-5.32,1.15
-5.31,0.97
-5.30,1.16
-5.30,0.95
-5.33,1.00
-5.30,1.09
-5.33,0.80
-5.34,1.32
-5.35,0.75
-5.33,0.98
-5.34,1.05
-5.36,0.98
-5.35,0.69
-5.35,1.14
-5.40,0.93
-5.40,1.14
-5.39,0.90
-5.39,0.76
-5.42,0.89
-5.41,0.83
-5.39,0.93
