discriminator,generator
-19.26,12.22
-8.37,3.56
-7.16,2.99
-6.41,2.47
-5.91,2.22
-5.56,2.04
-5.27,1.92
-5.02,1.79
-4.81,1.67
-4.63,1.52
-4.49,1.45
-4.35,1.44
-4.25,1.34
-4.14,1.25
-4.06,1.17
-3.96,1.20
-3.89,1.10
-3.81,1.01
-3.74,1.08
-3.66,0.98
-3.61,1.00
-3.55,0.98
-3.48,0.91
-3.43,0.89
-3.39,0.87
-3.34,0.81
-3.28,0.85
-3.23,0.83
-3.19,0.75
-3.14,0.77
-3.10,0.69
-3.06,0.72
-2.99,0.64
-2.96,0.69
-2.93,0.72
-2.88,0.69
-2.82,0.71
-2.79,0.69
-2.78,0.69
-2.70,0.56
-2.68,0.61
-2.66,0.73
-2.62,0.56
-2.54,0.57
-2.52,0.63
-2.53,0.62
-2.48,0.63
-2.47,0.54
-2.43,0.55
-2.43,0.49
-2.39,0.59
-2.36,0.41
-2.35,0.63
-2.32,0.46
-2.19,0.53
-2.24,0.60
-2.16,0.51
-2.20,0.52
-2.14,0.48
-2.10,0.60
-1.99,0.42
-1.93,0.46
-1.59,0.45
-0.92,0.35
-0.93,0.34
-0.89,0.33
-0.94,0.40
-0.90,0.41
-0.95,0.26
-1.00,0.34
-0.99,0.21
-0.95,0.35
-0.98,0.33
-1.04,0.29
-1.03,0.35
-1.03,0.25
-1.02,0.46
-1.05,0.44
-1.04,0.42
-1.04,0.35
