discriminator,generator
-54.96,49.57
-16.62,7.24
-13.33,5.75
-11.44,4.79
-10.00,3.85
-9.22,3.39
-8.74,3.12
-8.46,3.12
-8.22,2.72
-8.04,2.91
-7.82,2.80
-7.59,2.74
-7.42,2.56
-7.23,2.63
-7.06,2.51
-6.92,2.52
-6.80,2.42
-6.69,2.40
-6.68,2.17
-6.51,2.61
-6.48,2.30
-6.42,2.25
-6.33,2.12
-6.26,2.11
-6.21,2.21
-6.15,2.11
-6.06,2.11
-6.00,1.94
-5.99,1.83
-5.92,2.12
-5.90,1.79
-5.87,2.05
-5.79,1.88
-5.76,1.84
-5.71,1.85
-5.69,1.71
-5.65,1.67
-5.66,2.03
-5.54,1.52
-5.58,1.70
-5.54,1.80
-5.52,1.55
-5.50,1.56
-5.46,1.64
-5.43,1.82
-5.42,1.30
-5.45,1.80
-5.39,1.42
-5.38,1.63
-5.36,1.49
-5.32,1.57
-5.36,1.19
-5.27,1.64
-5.31,1.58
-5.27,1.37
-5.29,1.27
-5.23,1.52
-5.26,1.37
-5.24,1.50
-5.24,1.36
-5.19,1.57
-5.22,1.44
-5.21,1.32
-5.23,1.29
-5.20,1.08
-5.18,1.36
-5.19,0.95
-5.16,1.60
-5.17,1.23
-5.12,1.20
-5.16,1.31
-5.16,1.26
-5.16,1.53
-5.13,1.15
-5.15,1.10
-5.15,1.23
-5.12,1.25
-5.16,1.25
-5.14,1.23
-5.15,1.38
-5.11,1.17
-5.13,1.23
-5.12,1.16
-5.13,1.22
-5.13,1.09
-5.12,1.20
-5.16,0.88
-5.13,1.36
-5.15,1.11
-5.13,1.21
-5.13,1.30
-5.15,1.03
-5.15,1.09
-5.13,1.21
-5.17,1.09
-5.15,1.04
-5.18,1.07
-5.17,1.00
-5.20,1.24
-5.23,0.91
-5.16,1.25
-5.18,1.01
-5.22,1.01
-5.21,1.09
-5.22,0.83
-5.20,0.94
-5.19,1.16
-5.22,1.10
-5.22,0.87
-5.21,0.91
-5.22,1.13
-5.24,0.76
-5.25,0.89
-5.25,1.10
-5.27,0.98
-5.22,1.09
-5.27,0.71
