discriminator,generator
1.04,3.65
0.91,3.03
0.83,3.10
0.74,3.31
0.65,3.48
0.62,3.57
0.59,3.67
0.56,3.67
0.53,3.78
0.50,3.97
0.51,3.88
0.45,4.00
0.50,3.91
0.44,4.00
0.44,4.08
0.37,4.22
0.39,4.34
0.40,4.13
0.41,4.26
0.38,4.31
0.40,4.19
0.40,4.36
0.34,4.47
0.40,4.34
0.31,4.46
0.40,4.37
0.36,4.51
0.31,4.47
0.43,4.41
0.34,4.62
0.21,4.97
0.35,4.85
0.32,4.74
0.24,4.95
0.37,4.77
0.32,4.84
0.23,4.95
0.37,4.79
0.22,5.01
0.25,5.18
0.35,4.79
0.27,5.06
0.31,5.17
0.26,5.05
0.28,5.08
0.32,4.93
0.32,4.53
0.31,4.68
0.30,4.69
0.25,4.75
0.31,4.90
0.29,4.74
0.32,4.69
0.32,4.68
0.26,4.92
0.25,5.03
0.30,4.93
0.23,4.92
0.25,5.08
0.28,5.20
